Matricula,Nombre_estudiante,Programa_academico,Semestre_del_alumno,Alumnos_Acreditados,Plan_de_estudios,Campus
A05149634,Jaxon Jackson,LDI,Primer Semestre,Acreditado(a),TEC21,MTY
A03800093,Kennedy Kim,LDI,Primer Semestre,Acreditado(a),TEC21,MTY
A07820139,Lily Lee,LDI,Tercer Semestre,Acreditado(a),TEC21,MTY
A02077244,Mason Martinez,LDI,Tercer Semestre,Acreditado(a),TEC21,MTY
A00083840,Natalie Nguyen,LDI,Tercer Semestre,Acreditado(a),TEC21,MTY
A09176383,Oliver Owens,LDI,Primer Semestre,Acreditado(a),TEC21,MTY
A00774768,Piper Perez,LDI,Primer Semestre,Acreditado(a),TEC21,MTY
A04274609,Quentin Reyes,LDI,Tercer Semestre,Acreditado(a),TEC21,MTY
A06397779,Riley Smith,LDI,Primer Semestre,Acreditado(a),TEC21,MTY
A03997375,Sophia Torres,LDI,Tercer Semestre,Acreditado(a),TEC21,MTY
A04666195,Tucker Taylor,LED,Primer Semestre,Acreditado(a),TEC21,MTY
A01975697,Violet Vasquez,LED,Tercer Semestre,Acreditado(a),TEC21,MTY
A02807446,Wyatt Xu,LED,Primer Semestre,Acreditado(a),TEC21,MTY
A00040471,Yasmin Young,LED,Primer Semestre,Acreditado(a),TEC21,MTY
A06394428,Zoey Zuniga,LED,Primer Semestre,Acreditado(a),TEC21,MTY
A02861117,Aaron Adams,LED,Primer Semestre,Acreditado(a),TEC21,MTY
A02296832,Brooke Baker,LED,Primer Semestre,Acreditado(a),TEC21,MTY
A01752915,Caleb Carter,LED,Primer Semestre,Acreditado(a),TEC21,MTY
A08067357,Daisy Davis,LED,Primer Semestre,Acreditado(a),TEC21,MTY
A06740003,Elijah Evans,LED,Primer Semestre,Acreditado(a),TEC21,MTY
A07908887,Faith Flores,LED,Primer Semestre,Acreditado(a),TEC21,MTY
A09934672,Gideon Gonzalez,LED,Primer Semestre,Acreditado(a),TEC21,MTY
A08430706,Pamela Tyler,LED,Primer Semestre,Acreditado(a),TEC21,MTY
A02198566,Ryan Morrison,LED,Primer Semestre,Acreditado(a),TEC21,MTY
A08776771,Julie Sosa,LED,Primer Semestre,Acreditado(a),TEC21,MTY
A06198596,Shannon Klein,LED,Primer Semestre,Acreditado(a),TEC21,MTY
A08744129,Jamie Scott,LED,Primer Semestre,Acreditado(a),TEC21,MTY
A06524035,Rebecca Thompson,LED,Tercer Semestre,Acreditado(a),TEC21,MTY
A06766507,Mark Harvey,LED,Primer Semestre,Acreditado(a),TEC21,MTY
A06594258,Mark Pineda,LED,Tercer Semestre,Acreditado(a),TEC21,MTY
A03475638,Mary Rodriguez,LED,Primer Semestre,Acreditado(a),TEC21,MTY
A03384230,Tamara Hughes,LED,Primer Semestre,Acreditado(a),TEC21,MTY
A02950273,Janet Quinn,LED,Tercer Semestre,Acreditado(a),TEC21,MTY
A08540175,Brian Phillips,LED,Primer Semestre,Acreditado(a),TEC21,MTY
A02209294,Allison May,LED,Primer Semestre,Acreditado(a),TEC21,MTY
A07608057,Todd Giles,LED,Tercer Semestre,Acreditado(a),TEC21,MTY
A03083007,Amy Sanchez,LED,Primer Semestre,Acreditado(a),TEC21,MTY
A06651451,Victoria Barry,LED,Primer Semestre,Acreditado(a),TEC21,MTY
A03365169,Darren Miller,LED,Primer Semestre,Acreditado(a),TEC21,MTY
A04827912,Ashley Kim,LED,Tercer Semestre,Acreditado(a),TEC21,MTY
A05966934,Christine Shaw,LED,Primer Semestre,Acreditado(a),TEC21,MTY
A02385742,Jesse Davidson,LED,Primer Semestre,Acreditado(a),TEC21,MTY
A02493558,Vincent Strickland,LED,Primer Semestre,Acreditado(a),TEC21,MTY
A03822570,Tammy Bates,LED,Primer Semestre,Acreditado(a),TEC21,MTY
A07711197,Brian Watts,LED,Primer Semestre,Acreditado(a),TEC21,MTY
A01157482,Lisa Henderson,LED,Tercer Semestre,Acreditado(a),TEC21,MTY
A08518035,Michelle Mitchell,LED,Tercer Semestre,Acreditado(a),TEC21,MTY
A07694383,Jennifer Walker,LED,Primer Semestre,Acreditado(a),TEC21,MTY
A04667564,Jessica Davis,LED,Primer Semestre,Acreditado(a),TEC21,MTY
A09612303,Mr. Gary Rose,LED,Segundo Semestre,Acreditado(a),TEC21,MTY
A09313346,Martha Rogers,LED,Tercer Semestre,Acreditado(a),TEC21,MTY
A04418105,Mr. Maxwell Brennan,LED,Primer Semestre,Acreditado(a),TEC21,MTY
A00640198,Robert Morgan,LED,Tercer Semestre,Acreditado(a),TEC21,MTY
A06011029,Russell Mcmillan,LED,Segundo Semestre,Acreditado(a),TEC21,MTY
A04796010,Latoya Williams,LED,Tercer Semestre,Acreditado(a),TEC21,MTY
A00532508,James Holmes,LED,Tercer Semestre,Acreditado(a),TEC21,MTY
A00642262,John Davidson,LED,Primer Semestre,Acreditado(a),TEC21,MTY
A06928814,Shannon Smith,LED,Tercer Semestre,Acreditado(a),TEC21,MTY
A02995020,Jennifer Taylor,LED,Primer Semestre,Acreditado(a),TEC21,MTY
A01824212,Melissa Hawkins,LED,0,Acreditado(a),TEC21,MTY
A05832758,Matthew Larsen,LED,Primer Semestre,Acreditado(a),TEC21,MTY
A01978728,Adam Morgan,LED,Primer Semestre,Acreditado(a),TEC21,MTY
A07941250,Alan Fields,LED,Primer Semestre,Acreditado(a),TEC21,MTY
A04165898,Beth Brooks,LED,Primer Semestre,Acreditado(a),TEC21,MTY
A05414828,Megan Hawkins,LED,Primer Semestre,Acreditado(a),TEC21,MTY
A06199967,Kim Rice,LED,Primer Semestre,Acreditado(a),TEC21,MTY
A02613977,Jose Sullivan,LED,0,Acreditado(a),TEC21,MTY
A00620769,Ronald Payne,LED,Primer Semestre,Acreditado(a),TEC21,MTY
A06609699,Earl Marshall,LED,Primer Semestre,Acreditado(a),TEC21,MTY
A00245751,Gregory Warren,LED,Primer Semestre,Acreditado(a),TEC21,MTY
A04448247,Amanda Woods,LED,Primer Semestre,Acreditado(a),TEC21,MTY
A01712145,Emily Navarro,LED,0,Acreditado(a),TEC21,MTY
A06543518,Carolyn Young,LTP,Segundo Semestre,Acreditado(a),TEC21,MTY
A02842531,Jim Bradley,LTP,Tercer Semestre,Acreditado(a),TEC21,MTY
A02972312,Ronald Leonard,LTP,0,Acreditado(a),TEC21,MTY
A06847251,Kathy Williams,LTP,Primer Semestre,Acreditado(a),TEC21,MTY
A06104133,William Fleming,IAG,Segundo Semestre,Acreditado(a),TEC21,MTY
A02077718,Amanda Johnson,IAL,Primer Semestre,Acreditado(a),TEC21,MTY
A07449082,Kristin Rios,IAL,Primer Semestre,Acreditado(a),TEC21,MTY
A09508607,Joe Hendricks,IAL,Primer Semestre,Acreditado(a),TEC21,MTY
A03271614,Margaret Swanson,IAL,Primer Semestre,Acreditado(a),TEC21,MTY
A08080311,Dawn Owens,IAL,Primer Semestre,Acreditado(a),TEC21,MTY
A06322882,Shannon Lee,IAL,Primer Semestre,Acreditado(a),TEC21,MTY
A03225352,Luis Howard,IAL,Primer Semestre,Acreditado(a),TEC21,MTY
A04476232,Craig Small,IAL,Primer Semestre,Acreditado(a),TEC21,MTY
A02165961,Rick Morris,IAL,Primer Semestre,Acreditado(a),TEC21,MTY
A00722498,Ashley Waters,IAL,Primer Semestre,Acreditado(a),TEC21,MTY
A00523888,Christopher Jackson,IAL,Primer Semestre,Acreditado(a),TEC21,MTY
A06013791,Frank Gonzalez,IAL,Primer Semestre,Acreditado(a),TEC21,MTY
A01364489,Matthew Zimmerman,IAL,Tercer Semestre,Acreditado(a),TEC21,MTY
A01936317,Karen Green,IAL,Primer Semestre,Acreditado(a),TEC21,MTY
A08447988,Tyler Calhoun PhD,IAL,Primer Semestre,Acreditado(a),TEC21,MTY
A01971684,Daniel Fowler,IAL,Primer Semestre,Acreditado(a),TEC21,MTY
A01243698,Jerry Tucker,IAL,Primer Semestre,Acreditado(a),TEC21,MTY
A08387349,Troy King,IAL,Primer Semestre,Acreditado(a),TEC21,MTY
A06709108,David Swanson,IAL,Tercer Semestre,Acreditado(a),TEC21,MTY
A01174597,David Tran,IAL,0,Acreditado(a),TEC21,MTY
A07368231,Nicholas Stevens,IAL,Primer Semestre,Acreditado(a),TEC21,MTY
A05377504,Brandon Fox,IAL,0,Acreditado(a),TEC21,MTY
A00381301,Molly Flores,IAL,0,Acreditado(a),TEC21,MTY
A05151230,Chad Smith,IAL,0,Acreditado(a),TEC21,MTY
A01894298,Brian Hubbard,IAL,Primer Semestre,Acreditado(a),TEC21,MTY
A09993933,Stephanie Castro,IAL,Tercer Semestre,Acreditado(a),TEC21,MTY
A01924219,Diana King,IAL,Primer Semestre,Acreditado(a),TEC21,MTY
A04410740,Joseph Robertson,IAL,0,Acreditado(a),TEC21,MTY
A05654245,Albert Cole,IAL,Primer Semestre,Acreditado(a),TEC21,MTY
A08177103,Kelly Ortiz,IAL,Primer Semestre,Acreditado(a),TEC21,MTY
A00778008,Nathan Moore,IAL,Primer Semestre,Acreditado(a),TEC21,MTY
A00263942,Tina Johnson,IAL,0,Acreditado(a),TEC21,MTY
A01649419,Donna Williamson,IAL,Primer Semestre,Acreditado(a),TEC21,MTY
A06156025,Joshua Sweeney,IBT,Primer Semestre,Acreditado(a),TEC21,MTY
A07603412,Jordan Woods,IBT,Tercer Semestre,Acreditado(a),TEC21,MTY
A01941571,Angel Cortez,IBT,Primer Semestre,Acreditado(a),TEC21,MTY
A08084313,Cesar Powell,IBT,Primer Semestre,Acreditado(a),TEC21,MTY
A03599596,Lisa Zimmerman,IBT,Primer Semestre,Acreditado(a),TEC21,MTY
A06946142,Barbara Burns,IBT,Tercer Semestre,Acreditado(a),TEC21,MTY
A09708360,Jon Williamson,IBT,Primer Semestre,Acreditado(a),TEC21,MTY
A05443540,Nathaniel Smith,IBT,Tercer Semestre,Acreditado(a),TEC21,MTY
A06835435,Mark Skinner,IBT,Primer Semestre,Acreditado(a),TEC21,MTY
A09435361,Patrick Larson,IBT,Primer Semestre,Acreditado(a),TEC21,MTY
A06556100,Angela Sullivan,IBT,Primer Semestre,Acreditado(a),TEC21,MTY
A01467207,Brandon Johnson,IBT,Segundo Semestre,Acreditado(a),TEC21,MTY
A00603744,James Leon,IBT,Tercer Semestre,Acreditado(a),TEC21,MTY
A00914976,Brittany Hernandez,IBT,Primer Semestre,Acreditado(a),TEC21,MTY
A08377234,Joshua Miller,IBT,Primer Semestre,Acreditado(a),TEC21,MTY
A03098290,Jordan Jefferson,IBT,Primer Semestre,Acreditado(a),TEC21,MTY
A04803337,Jake Robinson,IBT,Primer Semestre,Acreditado(a),TEC21,MTY
A07484774,Charlene Glover,IBT,Primer Semestre,Acreditado(a),TEC21,MTY
A01692358,Natalie Thomas,IBT,Primer Semestre,Acreditado(a),TEC21,MTY
A04053931,John Medina,IBT,Tercer Semestre,Acreditado(a),TEC21,MTY
A09703911,Alexa Gregory,IBT,Primer Semestre,Acreditado(a),TEC21,MTY
A04850520,James Zamora,IBT,Primer Semestre,Acreditado(a),TEC21,MTY
A09729407,Rachel Hernandez,IBT,Primer Semestre,Acreditado(a),TEC21,MTY
A02310592,Michael Scott,IBT,Primer Semestre,Acreditado(a),TEC21,MTY
A08539651,Kristin Vazquez,IBT,Primer Semestre,Acreditado(a),TEC21,MTY
A05543153,Monica Reynolds,IBT,Primer Semestre,Acreditado(a),TEC21,MTY
A02895550,Jonathan Glass,IBT,Primer Semestre,Acreditado(a),TEC21,MTY
A07477930,Robin Aguilar,IBT,Primer Semestre,Acreditado(a),TEC21,MTY
A00943340,Jessica Villanueva,IBT,Primer Semestre,Acreditado(a),TEC21,MTY
A00284038,Michele Wagner,IBT,Primer Semestre,Acreditado(a),TEC21,MTY
A04845258,Zachary Miller,IBT,Primer Semestre,Acreditado(a),TEC21,MTY
A05297108,Carlos West,IBT,Tercer Semestre,Acreditado(a),TEC21,MTY
A06142032,Victoria Mills,IBT,Primer Semestre,Acreditado(a),TEC21,MTY
A04262661,Stephen Williams,IBT,Primer Semestre,Acreditado(a),TEC21,MTY
A08057741,Christopher Hunt,IBT,Primer Semestre,Acreditado(a),TEC21,MTY
A03420015,Charles Burns,IBT,Tercer Semestre,Acreditado(a),TEC21,MTY
A08327322,Cheyenne Crawford,IBT,Primer Semestre,Acreditado(a),TEC21,MTY
A05377737,Brett Kelly,IBT,Primer Semestre,Acreditado(a),TEC21,MTY
A06910098,Mr. Thomas Sanders II,IBT,Primer Semestre,Acreditado(a),TEC21,MTY
A03573565,Ryan Garza,IBT,Primer Semestre,Acreditado(a),TEC21,MTY
A06280439,Seth Willis,IBT,Primer Semestre,Acreditado(a),TEC21,MTY
A02158589,Eddie Freeman,IBT,Tercer Semestre,Acreditado(a),TEC21,MTY
A04998938,Scott Gibbs,IBT,Segundo Semestre,Acreditado(a),TEC21,MTY
A02652936,Michael Ball,IBT,Tercer Semestre,Acreditado(a),TEC21,MTY
A05927611,Alan Hawkins,IBT,0,Acreditado(a),TEC21,MTY
A09362344,Jasmine Watts,IBT,Primer Semestre,Acreditado(a),TEC21,MTY
A05681431,Danielle Miller,IBT,Primer Semestre,Acreditado(a),TEC21,MTY
A07607885,Kaitlyn Martin,IBT,Primer Semestre,Acreditado(a),TEC21,MTY
A04847167,Rachael Robinson,IBT,Primer Semestre,Acreditado(a),TEC21,MTY
A04870976,Karl Richardson,IBT,Primer Semestre,Acreditado(a),TEC21,MTY
A07598390,Tonya Phelps,IBT,Primer Semestre,Acreditado(a),TEC21,MTY
A05814216,Heather Mcguire,IBT,Primer Semestre,Acreditado(a),TEC21,MTY
A01276709,Diana Tucker,IBT,Primer Semestre,Acreditado(a),TEC21,MTY
A03387159,Gabriel Barton,IBT,Primer Semestre,Acreditado(a),TEC21,MTY
A03747473,Mary Wilson,IBT,Primer Semestre,Acreditado(a),TEC21,MTY
A04060658,Kelli Tran,IBT,0,Acreditado(a),TEC21,MTY
A07605234,Francisco Carey,IBT,Primer Semestre,Acreditado(a),TEC21,MTY
A05512918,Jamie Clark,IBT,Primer Semestre,Acreditado(a),TEC21,MTY
A01632545,Christina Gill,IBT,0,Acreditado(a),TEC21,MTY
A09025787,Jeffrey Scott,IBT,Primer Semestre,Acreditado(a),TEC21,MTY
A03232715,Jonathan Dunlap,IBT,Primer Semestre,Acreditado(a),TEC21,MTY
A06895586,Scott Gonzalez,IBT,Primer Semestre,Acreditado(a),TEC21,MTY
A08477317,Tamara Odonnell,IBT,Tercer Semestre,Acreditado(a),TEC21,MTY
A01166031,Travis Jackson,IBT,Primer Semestre,Acreditado(a),TEC21,MTY
A09722107,Nicole Cook,IBT,Primer Semestre,Acreditado(a),TEC21,MTY
A09873081,Jeffrey Day,IBT,Primer Semestre,Acreditado(a),TEC21,MTY
A08440249,Sheri Phillips,IBT,Tercer Semestre,Acreditado(a),TEC21,MTY
A09017407,Lisa Jones,IBT,Primer Semestre,Acreditado(a),TEC21,MTY
A00264038,Joseph Smith,IBT,Primer Semestre,Acreditado(a),TEC21,MTY
A08531327,James Allen,IBT,Primer Semestre,Acreditado(a),TEC21,MTY
A07311623,Jonathan James,IBT,Primer Semestre,Acreditado(a),TEC21,MTY
A03926614,Patricia Moore,IBT,Primer Semestre,Acreditado(a),TEC21,MTY
A04441227,Dr. Patrick Santos,IBT,Tercer Semestre,Acreditado(a),TEC21,MTY
A08950878,Rebecca Mcdonald,IBT,0,Acreditado(a),TEC21,MTY
A09723187,Todd Frank,IBT,Primer Semestre,Acreditado(a),TEC21,MTY
A07203212,Mark Steele,IBT,Primer Semestre,Acreditado(a),TEC21,MTY
A05585534,Holly Johnson,IBT,Primer Semestre,Acreditado(a),TEC21,MTY
A07834902,Richard Allen,IBT,Primer Semestre,Acreditado(a),TEC21,MTY
A08392981,Richard Lopez,IBT,Primer Semestre,Acreditado(a),TEC21,MTY
A00337967,Kathryn Clark,IBT,Primer Semestre,Acreditado(a),TEC21,MTY
A06951598,Brittany Gonzales,IBT,Segundo Semestre,Acreditado(a),TEC21,MTY
A05514853,Alicia Smith,IBT,Tercer Semestre,Acreditado(a),TEC21,MTY
A07234826,Mr. David Lopez Jr.,IBT,Segundo Semestre,Acreditado(a),TEC21,MTY
A05503430,Lisa Villanueva,IBT,Primer Semestre,Acreditado(a),TEC21,MTY
A06435072,Thomas Bauer,IBT,Primer Semestre,Acreditado(a),TEC21,MTY
A05613390,Leslie Garner,IBT,Primer Semestre,Acreditado(a),TEC21,MTY
A09214388,Lisa Morris,IBT,Primer Semestre,Acreditado(a),TEC21,MTY
A07288460,Joseph Smith,IC,Primer Semestre,Acreditado(a),TEC21,MTY
A04853675,Frank Lambert,IC,Segundo Semestre,Acreditado(a),TEC21,MTY
A00856823,James Chambers,IC,Primer Semestre,Acreditado(a),TEC21,MTY
A02804575,Michael Howe,IC,Primer Semestre,Acreditado(a),TEC21,MTY
A05806058,Michael Adams,IC,Tercer Semestre,Acreditado(a),TEC21,MTY
A05803918,Christopher Simmons,IC,Primer Semestre,Acreditado(a),TEC21,MTY
A00853228,Terry Bolton,IC,Primer Semestre,Acreditado(a),TEC21,MTY
A08650552,Jeffrey Allen,IC,Primer Semestre,Acreditado(a),TEC21,MTY
A05984232,Richard Jones,IC,Tercer Semestre,Acreditado(a),TEC21,MTY
A07339755,Linda Martin,IC,Primer Semestre,Acreditado(a),TEC21,MTY
A00240949,Melissa Nunez,IC,Primer Semestre,Acreditado(a),TEC21,MTY
A05128549,Peter Cohen,IC,Primer Semestre,Acreditado(a),TEC21,MTY
A08069981,Mr. Edwin Thomas PhD,IC,Primer Semestre,Acreditado(a),TEC21,MTY
A00103306,Sara Chandler,IC,Primer Semestre,Acreditado(a),TEC21,MTY
A03695102,Marissa Farmer,IC,Primer Semestre,Acreditado(a),TEC21,MTY
A05698179,Miranda Spencer,IC,Primer Semestre,Acreditado(a),TEC21,MTY
A06997393,Evan Harris,IC,Primer Semestre,Acreditado(a),TEC21,MTY
A08355022,Kyle Murray,IC,Segundo Semestre,Acreditado(a),TEC21,MTY
A01152014,Jordan Evans,IC,Primer Semestre,Acreditado(a),TEC21,MTY
A04875762,Susan Weiss,IC,Primer Semestre,Acreditado(a),TEC21,MTY
A04889635,Joseph Boyer,IC,Segundo Semestre,Acreditado(a),TEC21,MTY
A06390629,Karla Sutton,IC,Primer Semestre,Acreditado(a),TEC21,MTY
A04120131,Benjamin Wright,IC,Primer Semestre,Acreditado(a),TEC21,MTY
A02044442,Malik Lambert,IC,Primer Semestre,Acreditado(a),TEC21,MTY
A01219631,Elizabeth Branch DVM,IC,Primer Semestre,Acreditado(a),TEC21,MTY
A09258382,Helaine Griggs,IC,Primer Semestre,Acreditado(a),TEC21,MTY
A03049299,Mandy Jansen,IC,Primer Semestre,Acreditado(a),TEC21,MTY
A09282461,Tama Ferrara,IC,Segundo Semestre,Acreditado(a),TEC21,MTY
A06743662,Luanne Biddle,IC,Primer Semestre,Acreditado(a),TEC21,MTY
A02795611,Luciana Isom,IC,Primer Semestre,Acreditado(a),TEC21,MTY
A07633686,Cathrine Honeycutt,IC,Faltan Datos,Acreditado(a),TEC21,MTY
A08186373,Thu Piazza,IC,Primer Semestre,Acreditado(a),TEC21,MTY
A01183164,Herb Sabo,IC,Primer Semestre,Acreditado(a),TEC21,MTY
A07946319,Celine Kramer,IC,Primer Semestre,Acreditado(a),TEC21,MTY
A08815656,Janiece Chin,IC,Primer Semestre,Acreditado(a),TEC21,MTY
A05350534,Terresa Trombley,IC,Segundo Semestre,Acreditado(a),TEC21,MTY
A04176256,Tonie Shank,IC,Primer Semestre,Acreditado(a),TEC21,MTY
A00253115,Hellen West,IC,Tercer Semestre,Acreditado(a),TEC21,MTY
A06065855,Denis Carson,IC,Primer Semestre,Acreditado(a),TEC21,MTY
A05736018,Izetta Frey,IC,0,Acreditado(a),TEC21,MTY
A07507436,Maia Witherspoon,IC,Primer Semestre,Acreditado(a),TEC21,MTY
A08440253,Kam Irish,IC,Segundo Semestre,Acreditado(a),TEC21,MTY
A08914676,Nancie Crawley,IC,0,Acreditado(a),TEC21,MTY
A02678695,Brandie Fries,IC,Primer Semestre,Acreditado(a),TEC21,MTY
A03444563,Prudence Solis,IC,Segundo Semestre,Acreditado(a),TEC21,MTY
A02074201,Kathyrn Valdez,IC,Primer Semestre,Acreditado(a),TEC21,MTY
A01884338,Yajaira French,IC,0,Acreditado(a),TEC21,MTY
A04376369,Yasmin Geiger,IC,Faltan Datos,Acreditado(a),TEC21,MTY
A07731911,Mabel Pape,IC,Primer Semestre,Acreditado(a),TEC21,MTY
A00708928,Carolee Hamby,IC,Segundo Semestre,Acreditado(a),TEC21,MTY
A09925578,Evelynn Hundley,IC,Primer Semestre,Acreditado(a),TEC21,MTY
A03002939,Rossie Hutto,IC,Tercer Semestre,Acreditado(a),TEC21,MTY
A03885604,Delia Bellamy,IC,Faltan Datos,Acreditado(a),TEC21,MTY
A06501879,Shemeka Darnell,IC,Primer Semestre,Acreditado(a),TEC21,MTY
A09471155,Bee Nowell,IC,Primer Semestre,Acreditado(a),TEC21,MTY
A02475193,Wilton Free,IC,0,Acreditado(a),TEC21,MTY
A00849464,Lyndsay Chappell,IC,Primer Semestre,Acreditado(a),TEC21,MTY
A06473923,Madeleine Huey,IC,Primer Semestre,Acreditado(a),TEC21,MTY
A02013477,Horacio Weldon,IC,Segundo Semestre,Acreditado(a),TEC21,MTY
A06174219,Dorethea Vigil,IC,Primer Semestre,Acreditado(a),TEC21,MTY
A01077994,Celina Nakamura,IC,Primer Semestre,Acreditado(a),TEC21,MTY
A06902350,Loris Colson,IC,Primer Semestre,Acreditado(a),TEC21,MTY
A02728366,Catherin Stewart,IC,Primer Semestre,Acreditado(a),TEC21,MTY
A06545011,Homer Badillo,IC,Primer Semestre,Acreditado(a),TEC21,MTY
A01586099,Carmel Cave,IC,Primer Semestre,Acreditado(a),TEC21,MTY
A07020400,Rosie Bennett,IC,Primer Semestre,Acreditado(a),TEC21,MTY
A09302151,Judson Riddick,IC,Primer Semestre,Acreditado(a),TEC21,MTY
A03752879,Josiah Shafer,IC,Segundo Semestre,Acreditado(a),TEC21,MTY
A07424541,Treva Dickerson,IC,Faltan Datos,Acreditado(a),TEC21,MTY
A06607505,Pauline Chestnut,IC,Segundo Semestre,Acreditado(a),TEC21,MTY
A08886305,Rosalinda Bennett,IC,Faltan Datos,Acreditado(a),TEC21,MTY
A09256400,Brad Mccorkle,IC,Primer Semestre,Acreditado(a),TEC21,MTY
A01062760,Johna Earnest,IC,Segundo Semestre,Acreditado(a),TEC21,MTY
